Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
Sacar a los corruptos del gobierno federal y municipal,,,,EDOMEX,29
Salarios justos de acuerdo a la capacidad de cada funcionario,,,,EDOMEX,29
Agilidad y transparencia en los servicios públicos,,,,EDOMEX,29
Eliminar a director y comandantes de las policía municipal por corrupción,,,,EDOMEX,29
concientizar a los jovenes sobre valores de la honestidad,,,,EDOMEX,29
Apoyo mujeres y hombres de 50 años a 59 porque ya no dan trabajo ,,,,EDOMEX,29
Carcel al director y a impartidores de justicia que no cumplan sus funciones eb tiempo y forma e interpreten la ley en beneficio de poder económico ,,,,EDOMEX,29
Crear registro para menores de edad,,,,EDOMEX,29
Que la gente que trabaje en un cargo público tengan el conocimiento para ello,,,,EDOMEX,29
"Ya no más austeridad, mejores sueldos. ",,,,EDOMEX,29
Mejores sueldos ,,,,EDOMEX,29
Queremos mejores sueldos ,,,,EDOMEX,29
Elegir a los ministros y jueces y magistrados con base a su grado de profesionalización,,,,EDOMEX,29
Mejor sueldo,,,,EDOMEX,29
Mejorar la policía porque son nepotistas y tienen redes con los delincuentes,,,,EDOMEX,29
Buen pago de sueldos de servidores públicos para que no se corrompan,,,,EDOMEX,29
Restructuración del INE ,"Que los que tengan un puesto público, sea el que sea, de la cara sobre el gasto público.","Que la igualdad y seguridad para la paz sea equilibrada entre hombres, mujeres, niños etcétera.",Qué se rescaten nuestros recursos naturales .,EDOMEX,30
Qué las personas que se promueven para dichos puestos en verdad presenten credenciales ,Hay que empezar el combate a la corrupción en los gobiernos municipales que manchan la imagen de morena.,Mejor capacitación a policias.,"Fortalecer el apoyo de educación a nuestros hijos, apoyo económico ",EDOMEX,30
"Hacer reformas hacendarias, aprovechar el espacio fiscal y mejorar la gestión del gasto público y aplicar restructuración a instituciones .","Elaboración, creación de instituciones y estrategias supervisoras para el buen manejo de los recursos. Supervisar que no se malversen los fondos.",Avanzar en el plan C que permita democratizar el Sistema Judicial.,Nacionalización de empresas .,EDOMEX,30
Aplicar la ley a todos sin importar su posición social.,Impulsar los valores desde el ámbitoi familiar.,"Implementación de una unidad de investigación efectiva en feminicidios a nivel Estatal, tomando en cuenta los factores de violencia que existen en la comunidad.",Seguir con la política de no intervención y con la política social ,EDOMEX,30
Que se cumplan las necesidades de los ciudadanos y no lo que impongan las autoridades municipales.,No más corrución en Chicoloapan.,Que pueda participar la guardia nacional en la seguridad pública del municipio.,Nacionalización de empresas. ,EDOMEX,30
"Reformar el Banco de México, aplicar más leyes para la participación ciudadana fuera de los partidos.","Supervisar más a las autoridades, de tal manera que los recursos del gobierno se entreguen a la comunidad, en espacios como escuelas, parques o arreglar las calles, son mejoras necesarias.",Que los policias dejen de pedir cuotas (mordidas).,Recuperar nuestra minería .,EDOMEX,30
Que le pongan limites y reformas a cada ayuntamiento del Estado de México.,Todo con transparencia e informando a los ciudadanos y ciudadanas.,Aumentar la seguridad en las comunidades,Qué no permitamos inversionistas extranjeros .,EDOMEX,30
Que se tenga una resolución rápida y expedita ,"Hacer test psicológicos a todos los empleados antes de que ejerzan su cargo, y quien no apruebe le sea negado el cargo, sin importar que sea familiar de alguien en el poder.",Realizar una mayor vigilancia de lugares clandestinos donde se realizan bailes y venta de drogas a adolescentes porque es un problema que se está saliendo de control.,,EDOMEX,30
,combatir la corrupción en todos los ámbitos,Que las detenciones de ladrones reincidentes no sean temporales porque al salir vuelven a delinquir.,,EDOMEX,30
,Que desaparezcan los famosos corralones particulares y que se logren corralones de gobierno para evitar sifras fuera de lugar.,"Que se procese a todo aquel que delinque y la ley no quede en letra muerta, sin importar que sean presidentes municipales etcétera.",,EDOMEX,30
,"Evitar la corrupción, la educación empieza desde casa.","Que las leyes se cumplan, exisitiendo un delito que paguen y se investigue.",,EDOMEX,30
,Realizar comites de combate a la corrupción ,"Que mejore la atención a las investigaciones, en temas como violencia de género por parte de jueces conciliadores, policias municipales, guardia nacional y demás involucrados.",,EDOMEX,30
,Que se realicen obras que realmente sean utiles a la población y no sólo se hagan obras para justificar el gasto público.,Abatir la corrupción de los MP e implementar acciones para supervisar su actuación.,,EDOMEX,30
,"Imponer más leyes severas en actos de corrupción, congelando e incautando cuentas bancarias de aquellos que usen paraisos fiscales.",Nuevas reformas bien analizadas para mejorar la procuración de justicia.,,EDOMEX,30
,Establecer un régimen sancionador y protección al denunciante.,Apoyar a los perritos de la calle a no maltratarlos y que no haya más feminicidios.,,EDOMEX,30
,Atender la austeridad de los funcionarios de gobierno,Que la guardia nacional dependa del ejercito.,,EDOMEX,30
,Tener un servicio policial bien capacitado.,Garantizar el derecho a la educación y policias especializados.,,EDOMEX,30
,Una buena capacitación y disciplina.,Fortalecer la seguridad.,,EDOMEX,30
,Que los corruptos regresen lo robado y paguen con cárcel,Más capacitación a la policia y motivarlos con un sueldo digno.,,EDOMEX,30
,Meter a la cárcel a los corruptos y decomisar todo lo que se robaron.,Mayor capacitación a los policias.,,EDOMEX,30
,Castigo a quien se compruebe que comete actos de corrupción.,Cumplimiento de la ley ,,EDOMEX,30
,"Tener una plataforma donde se pueda denunciar sin miedo, pero exhibiendo a  quien realice estos actos.",Reforma Constitucional a la SCJN y control estricto de la Guardia Nacional.,,EDOMEX,30
,"Que castiguen severamente a los que realicen actos de corrupción y pidan dinero, como pasa con la policia.",Hacer reglas y centros que lleven el control y supervisión para la apliación de las leyes ,,EDOMEX,30
,"Transparencia y observancia, así como informar al público sobre las investigaciones recabadas y lo observado. ",Mayor capacitación a los policias y evitar que extorcionen y de ser así se les sancione severamente por ello.,,EDOMEX,30
,Que todo el que realice un acto de corrupción pague sin importar su nivel jerárquico.,Mayor capacitación,,EDOMEX,30
,"Que haya un control más efectivo de las acciones de servidores públicos, como en el caso de presidentes municipales por medio de auditorias de la contraloria, y teniendo un mayor seguimiento del presupuesto y de cada servidor público con cargos elevados.",Que los ministerios públicos le den la atención debida a los ciudadanos ,,EDOMEX,30
,Ratificar compromisos para acabar con la corrupción desde el sistema.,Que haya mayor presencia policial en las comunidades y sus unidades tuvieran mayor incidencia en el territoriosin importar las zonas.,,EDOMEX,30
,,Atender a personas que sean victimas de violencia de género y adicciones.,,EDOMEX,30
,,Mayor seguridad y justicia en las escuelas secundarias y preparatorias,,EDOMEX,30
,,Mayor seguridad en horarios nocturnos a estudiantes y gente trabajadora que se movilizan en la madrugada.,,EDOMEX,30
,,Cámaras en lugares estratégicos y estar conectadas a mandos policiales y atender cualquier tipo de violencia.,,EDOMEX,30
,,Que las leyes se cumplan.,,EDOMEX,30
,,Programas para victimas del delito y que el MP si haga su trabajo,,EDOMEX,30
,,Dar la atención en los MP y evitar enviar a la gente a otros espacios con tal de no recibir las denuncias y burocratizarlo más.,,EDOMEX,30
,,Leyes más justas.,,EDOMEX,30
,,Que siga la Guardia Nacional.,,EDOMEX,30
,,Que continue la guardia nacional,,EDOMEX,30
,,Implementar la educación civica y ética como obligatoria en cualquier grado escolar.,,EDOMEX,30
,,Mejor capacitación y atención a la seguridad de pueblo.,,EDOMEX,30
,,"Que haya mayor capacitación a nivel municipal, no sólo policias sino a toda el que procure justicia.",,EDOMEX,30
,,Que el castigo sea severo para violadores y asaltantes.,,EDOMEX,30
,,Crear más reclusorios con nuevas reglas.,,EDOMEX,30
,,Que la guardia nacional tenga la facultad de participar en los cateos.,,EDOMEX,30
,,"Atender de inmediato el tema de la corrupción privilegiando la seguridad a las mujeres, hombres, comunidad LGBTTIQ+, niños, niñas y desaparecidos.",,EDOMEX,30
,,"Hay que pensar no sólo en la seguridad y justicia de las personas, también de los animales de todo tipo y qué quienes procuren justicia atiendan el llamado sin importar si la falta es a un ser humano o a un animal.",,EDOMEX,30
,,Implementar un sistema más factible para la resolución de conlfictos y atención a las demandas.,,EDOMEX,30
,,Que los MP actuen de manera pronta y expedita.,,EDOMEX,30
,,Seguridad para personas LGBTTIQ+,,EDOMEX,30
,,"Erradicar la corrucpción desde los centros penitenciarios, procuradurias, y los centros de denuncia.",,EDOMEX,30
,Que el servidor público no tenga fuero en todos los niveles,Atender a la gente más necesitada económicamente con programas que ayuden a su economía,,EDOMEX,31
,Que los ministerios públicos realicen su trabajo,Acercamiento de nuestros policias alos centros educativos para prevención del delito y adicciones,,EDOMEX,31
,"Que los apoyos sean verdaderamente a los necesitados, porque les dan a familiares y amigos que no necesitan",Más seguridad y capacitación a las personas que estan en el gobierno para que hagan mejor su trabajo,,EDOMEX,31
,Mas policias que no hagan mas desorden,Que con apoyo del pueblo se genere mas tranquilidad en los penales para tranquilidad de los familiares,,EDOMEX,31
,Que la policia no realice funciones de transito,Garantizar el artículo 3 constirucional,,EDOMEX,31
,"Que auditen los penales, porque los criminales tienen muchos provilegios y desde ahí operan",Que los policías que están en servicio vigilen y cumplan su trabajo,,EDOMEX,31
,Hacer valer nuestros derechos,Más atención para que se pueda salir sin miedo,,EDOMEX,31
,Capacitaciones para los empleados para que puedan tener una buena ética profesional,Fortalecer la seguridad y exigir que atiendan de manera oportuna los puntos donde se vende droga,,EDOMEX,31
,Basificación apoyo a los servidores de la nación,Que entre la guardia nacional o el ejercito,,EDOMEX,31
,"Llevar a cabo auditorías en las escuelas públicas por colegiaturas excesivas, si no pagan no les permitirán el derecho a la educación","Promover y difundir el no consumir drogas, fortalecer valores en las familias",,EDOMEX,31
,Hacer caso a la ciudadania o a los servidores respeto a los jefes de diferentes áreas o departamentos de los ayuntamientos,Llevar pláticas a los estudiantes sobre violencia y drogas,,EDOMEX,31
,"Una propuesta que ayude a los ""viene, viene"" como que se les coloque de forma adecuada y puedan trabajar, se les respete y tengan un salario digno",Mayor seguridad en las carreteras,,EDOMEX,31
,Que en los procesos de licitación se considere al personal que cumpla la necesidad de lo que se necesita para el bien común,"Tener personal que actué bajo los valores de la honestidad, incrementar las penas para los delincuentes",,EDOMEX,31
,Leyes  mas severas para los corruptos,Mas desarrollo social,,EDOMEX,31
,No más mordidas,Que se cumpla la paz ,,EDOMEX,31
,Seguir con los altos mandos que hacen desvió de recursos que le tocan al pueblo,Que se acabe la violencia entre las mujeres,,EDOMEX,31
,Los policias son muy corruptos no atienden,Fortalecer a la guardia nacional y policía estatal,,EDOMEX,31
,"Que se pongan a trabajar los servidores publicos y que no pidan ""moche""",Poner más cámaras de seguridad para poder darle seguimiento al delito ,,EDOMEX,31
,"Combatir la corrupción a nivel de senadores y diputados, para arriba caiga quien caiga",Capacitación a los policias,,EDOMEX,31
,Fomentar y difundir puntos de ayuda psicológica para el crecimiento de conciencia en niños jóvenes y adultos,Poner cámaras en las escuelas,,EDOMEX,31
,Ley del sector salud ya que no hay medicamentos y buenos hospitales,Realizar reformas en la implemetación de justicia por parte de los jueces y magistrados,,EDOMEX,31
,Inhabilitar de sus funciones a los corruptos,"Construir parques, tener agua y apoyar a la sociedad",,EDOMEX,31
,La corrupción es y va a seguir mientras sigan gobernadores y gente en el poder que piense solo en llenar sus bolsillos sin importar lo que pueden hacer por su país,Fortalecer los valores desde casa,,EDOMEX,31
,Para combatir la corrupción es necesario que los servidores públicos pongan el mejor ejemplo,"Comabatir a los cárteles que cobran derecho de piso a mercados, taxis y transporte público",,EDOMEX,31
,Eliminar la corrupción de los policias como agencias ministeriales,Educación policiaca tanto el lo técnico como en lo profesional,,EDOMEX,31
,Sancionar a los que piden derecho de piso a los comercios y tianguis,Alumbrado en las calles,,EDOMEX,31
,No dar dádivas por trámites que se realizan,Eliminar la corrupción en todos los policías,,EDOMEX,31
,Mas seguridad,Capacitación a los policias y reemplazar por nuevos elementos,,EDOMEX,31
,"Cero corrupción más oportunidades, orientación a jóvenes y adultos",Que los policías no abusen de sus cargos,,EDOMEX,31
,Necesitamos más policías,Mejorar los protocolos de las instituciones,,EDOMEX,31
,"Combatir la corrupción, todos somos iguales",Arreglar y aumentar postes de luz para no da ventaja los criminales con la obscuridad,,EDOMEX,31
,Que el pueblo elija al poder judicial,Becas a las amas de casa,,EDOMEX,31
,Tener video cámaras en instalaciones de policía ,Que siga la guardia nacional,,EDOMEX,31
,"Mejores propuestas de trabajo, felicito al presidente por los apoyos para vivir mejor y sin violencia",Becas a los estudiantes y mejorar los sueldos,,EDOMEX,31
,Es importante que tengan un buen salario para erradicar la corrupción,Que la educación sea más rígida para que los niños del futuro sean personas más productivas,,EDOMEX,31
,Terminar con el favoritismo en los trabajos,Implementar talleres para padres con valores para una crianza positiva,,EDOMEX,31
,Que se maneje más claridad en el gasto del recurso y tener más capacitación para servidores públicos y que  no haya desviós de recursos,Aumentar las fuentes de empleo y a la vez lograr el precio en los productos,,EDOMEX,31
,A favor de la igualdad de género porque todos valemos y nos respeten nuestras ideas y se nos atienda conforme a derecho,,,EDOMEX,31
,Control del presupuesto del herario público para que se gaste en obra pública y no participar en la corrupción,,,EDOMEX,31
,Legislar en esta materia con penas más eficaces y difundir y educar a la población desde las escuelas,,,EDOMEX,31
,Que se castigue severamente a los jueces corruptos y se les quite su licencia de abogados,,,EDOMEX,31
,Que el pueblo vote para que el poder judicial emane de los ciudadanos,,,EDOMEX,31
,Que la policia municipal no se corrompa con ministerios públicos y jueces y ministros,,,EDOMEX,31
,Sancionar a servidores públicos que se prestan a la corrupción,,,EDOMEX,31
,Que se combata el nepotismo,,,EDOMEX,31
,Mayor crecimiento para la educación,,,EDOMEX,31
,"Revisar los expedientes de los perfiles, revisar los jueces de las dependencias",,,EDOMEX,31
,Exigir auditorias para revisión a todos los mandos donde se manejan los presupuestos,,,EDOMEX,31
,Que las licitaciones para las obras públicas sean reguladas y transparentes,,,EDOMEX,31
,Que no queden servidores públicos anteriores corruptos en el sector de seguridad,,,EDOMEX,31
,Protección a los ciudadanos que sean violentados sus derechos por parte de los servidores públicos castigando a dichos servidores públicos,,,EDOMEX,31
,Todos los servidores públicos deben de cumplir con el perfil académico que su puesto requiera,,,EDOMEX,31
,Crear una contraloría imparcial de manera nacional,,,EDOMEX,31
,No ser participe de ninguna situación y que se ejerza correctamente los derechos de cada uno de los ciudadanos,,,EDOMEX,31
,Que realmente se trabaje y no se deje todo el papel,,,EDOMEX,31
,Limpiar el sistema judicial quitando a jueces corruptos,,,EDOMEX,31
,Castigo severo a los corruptos,,,EDOMEX,31
,Que el sistema de justicia sea electo por el pueblo para que no sea manipulado por grupos de poder,,,EDOMEX,31
,"La corrupción viene de los altos mandos, hay mucho despido injustificado y si eso no se termina seguirá la corrupción policiaca, ojala que se investigue",,,EDOMEX,31
,No ser corruptos ser fieles a sus ideales,,,EDOMEX,31
,Acabar con grupos políticos,,,EDOMEX,31
,Promover la cultura anticorrupción,,,EDOMEX,31
,"Seguiridad ciudadana que en las colonias haya coordinación en las familias, que no sean violentadas las personas y que haya cámaras de seguridad",,,EDOMEX,31
,Mientras no se empiece desde los mayores mandos no va a pasar a todos los mandos ya que son los principales causantes de la corrupción ,,,EDOMEX,31
,Implementación de cámaras en vehículos,,,EDOMEX,31
,Apoyar a los servidores de la nación,,,EDOMEX,31
,Mejorar sueldos para trabajadores e instituciones,,,EDOMEX,31
,Que tesoreria municipal entregue cuentas claras,,,EDOMEX,31
,Crear talleres informativos a la ciudadania de como se debe actuar ante la corrupción,,,EDOMEX,31
,Más atención a los policias para que no haya mas abuso de ellos hacia el ciudadano,,,EDOMEX,31
,Formar comites de observación a todos los niveles y todos los cargos,,,EDOMEX,31
,Que se vuelva a implementar la materia de civismo dirigida a una mejor educación desde la infancia,,,EDOMEX,31
,Que trabajen los policías y los fiscales,,,EDOMEX,31
,Ejecutar sanciones penales efectivas para servidores públicos que cometan actos ilícitos y  no reclutar personal por proselitismo político,,,EDOMEX,31
,Que se considere en los procesos de licitación la opinión del personal operativo que es quienes hacen uso del recurso,,,EDOMEX,31
,Atacar la corrupción con educación,,,EDOMEX,31
,"Generar una supervisión preventiva al hacer proyectos y programas, justificar el financiamiento y donde adquirir el material",,,EDOMEX,31
,Profundizar las compras públicas,,,EDOMEX,31
,Revisar a los altos mandos policiacos ,,,EDOMEX,31
,Transparencia en la entrega de los programas,,,EDOMEX,31
,Fomentar más programas para adquirir un patrimonio tanto de vivienda como de negocio y facilitar mas el presupuesto,,,EDOMEX,31
,Base de datos de malos elementos de seguridad para que no sean incorporados en alguno de otras áreas,,,EDOMEX,31
,Primer presidente que no endeuda al país,,,EDOMEX,31
,"Retirar del cargo a todos aquellos funcionarios no aptos para ejercer su puesto, que pidan dinero a cambio para hacer su trabajo o agilizar algún trámite",,,EDOMEX,31
,Que los servidores públicos actuén con honestidad,,,EDOMEX,31
,Supervisiones a encargados de obras publicas y mejorar sueldos para evitar que caigan en corrupción. Revisar nóminas para comprobación,,,EDOMEX,31
,Profundizar en lo que necesiten los ciudadanos,,,EDOMEX,31
,"Que se realicen auditorias seguidas, que se le permita participar a la población, que se destinen más recursos para obras públicas",,,EDOMEX,31
,Cuidar el personal interno que trabaja con malas prácticas,,,EDOMEX,31
,Profundizar auditorias en todos los niveles de gobierno y que se verifique que las obras públicas sean de una excelente calidad,,,EDOMEX,31
,Que no reciban mordida los patrulleros,,,EDOMEX,31
,Combatir la corrupción en las escuelas públicas en todos los niveles y en la CFE,,,EDOMEX,31
,Hacer actividades en cuestión de combate a la corrupción,,,EDOMEX,31
,Difundir que los ciudadanos no fomenten la corrupción,,,EDOMEX,31
,Inhabilitación de funcionarios que cometen actos de corrupción,,,EDOMEX,31
,No fomentar corrupción en la sociedad,,,EDOMEX,31
,Que el pueblo vote y elija quien estará en la suprema corte de justicia de la nación,,,EDOMEX,31
,Cárcel a los corruptos,,,EDOMEX,31
,Transparencia en los gastos del gobierno y en caso de no hacerlo llevar a cabo sanciones efectivas,,,EDOMEX,31
,Combatir la corrupción en la policía de tránsito y federales,,,EDOMEX,31
Hoy es necesaria la división de poderes de que estos órganos autónomos tengan regulación,Mejores autoridades para poder lograr la erradicación de la corrupción de las autoridades ministeriales,Limpiar las policías estatales hoy que se creen los rondines comunitarios,,EDOMEX,33
Crear medios de comunicación para que en los municipios se informe de las políticas del estado y actuar del cabildo en el senado,Hoy tomar de ejemplo al presidente Andrés Manuel que está llevando un buen trabajo,Hola yo más eficientes en el apoyo en la internet,,EDOMEX,33
Ho se necesita vigilancia a los derechos humanos y recursos del país,Que todo lo que se vea sea demostrado,Que se garantice el apoyo a víctimas de delitos y que no se simule por parte de las fiscalías,,EDOMEX,33
Dar a todos los que no están capacitados para tener un cargo público,Que todo sea transparente,Reformar la policía estatal que solamente viola derechos y incrimina a inocentes,,EDOMEX,33
Hoy cambios en el seguro social de policías municipales,Hoy que a todas las peticiones y denuncias en contra de la corrupción se les dé solución,Desde la educación mejorar programas que implementen valores en las escuelas,,EDOMEX,33
Una ley que defienda a la gente humilde donde la ley sólo le haga caso a los más necesitados,Que si el castiga el corrupto eficazmente,Hoy garantizar salario de los policías y un trabajo digno para que no infrinjan el sobornos,,EDOMEX,33
Plan de igualdad en la burocracia enfocado principalmente en los intereses sociales y no en lo de los órganos autónomos,Fortalecer y hacer más estricta la ley para que los corruptos y los moches se acaben,Supervisión de los trabajadores públicos cada 6 meses,,EDOMEX,33
Que los miembros de la suprema corte de justicia sigan siendo independientes y capaces para tener los puestos que ocupan ,Quitar seguridad pública municipal y estatal y mantener a una sola línea de la guardia nacional,Poner más atención en las juventudes en su educación y en los espacios en que se recrean,,EDOMEX,33
Revisar las leyes de la constitución y reformar si son necesarios,La educación es la base para la regeneración del cambio,Implementar talleres que fomenten el respeto en los ciudadanos,,EDOMEX,33
"Que no se olviden de las zonas vulneradas, hola que siga la cuarta transformación",Que los pagos en las administraciones sean justos para qué se sea consciente de no caer en sobornos,Que el sistema carcelario se ha reformado y limpiado ya que existe mucha corrupción en el interior,,EDOMEX,33
Hoy reformar las instituciones electorales de los estados,Evitar que los demás corruptos lleguen a los mismos cargos públicos y lleno de gente llena de corrupción,Hoy apoyos del bienestar a la gente,,EDOMEX,33
Hoy mayor participación del estado en la economía del mercado con la inversión de más para estatales generen empleo y riqueza nacional,Que sean montos viables las multas o permisos de cualquier índole,Organizaciones encargadas de justicia deben poner hincapié en realizar su trabajo de manera honorable para la resolución de los problemas de los ciudadanos,,EDOMEX,33
Hoy supervisen todos los cargos del gobierno,Empezar a depurar el gobierno específicamente al personal que lleva años en el cargo público y no se evalúa ni examina,Que no haya violaciones en los procedimientos de justicia,,EDOMEX,33
Acabar con todas las mafias de los ministerios públicos donde no se levantan actas de las personas que hoy son agredidas,Que cada presidente municipal no remodele las oficinas burocráticas y mejor pavimente y arregle las calles aledañas de los municipios,Todo acto de delincuencia inicia en casa por lo tanto debe de haber una educación desde lo familiar,,EDOMEX,33
Hostigar con cárcel a los funcionarios y presidentes que no cumplan con su deber,Las presidencias municipales no fomentan la corrupción,Hoy que se termine el abuso hacia los trabajadores y el nepotismo,,EDOMEX,33
Hoy qué se labora adecuadamente y con justicia ya que el cargo público es importante pero el pueblo y sus necesidades son lo primordial,Auditoría a los gobiernos municipales desde la presidencia hasta los cargos más bajos,Implementar una educación basada en justicia amor y respeto a la humanidad y seres vivos ,,EDOMEX,33
Que se analicen a todas las instituciones autónomas y que se elimine la institución que no favorezca y contribuye a nada reformar la constitución para que los jueces y ministros sean electos por el pueblo,Cero corrupción empezando por el poder judicial la suprema corte de justicia es símbolo del porfirismo,Hoy programas educativos físicos donde se implemente el ejercicio como método de recreación,,EDOMEX,33
Hoy reformar y crear leyes que combatan la ineficiencia en la burocracia del issste y el imss,Poner énfasis en el tema de educación pública en especial a ,Retomar los casos de víctimas en los cuales no han recibido justicia,,EDOMEX,33
Hoy que el gobierno utilice la tecnología para obtener mejores números combativos en contra de la de delincuencia organizada,Elegir proyectos para el país justamente con el pueblo para combatir la corrupción exigir a cada presidente municipal auditorías,Hoy que el futuro coordinador de la cuarta transformación limpie el sistema de la secretaría de seguridad ciudadana,,EDOMEX,33
Continuar con la cuarta transformación para profundizar la reforma del estado,Una ley comprometida y profundizada en investigación tecnológica para así evitar la corrupción,Hoy impedir que los corruptos lleguen a los cargos de seguridad,,EDOMEX,33
Para reformar el estado se necesita que se le consulte a la gente obrera a la gente de pie,Retomar en las escuelas y comunidades clases de ética que fomenten el respeto que es la base del combate a la corrupción,Que haya una dependencia que revise los reclamos de todas las personas día y noche,,EDOMEX,33
Más apoyo en las políticas que favorezcan a las comunidades estudiantiles,Que hagan un filtro preciso y específico ante los servidores públicos que manejan permisos y dinero,Hoy investigar a las policías municipales para eliminar que policías estén coludidos en el crimen organizado,,EDOMEX,33
Hoy atender las necesidades de la población,Checar bien a los ministerios públicos que hagan su trabajo como debe de ser gratuitamente ya que por cada denuncia se sabe que se cobra,Mayor implementación de policías de género en las calles,,EDOMEX,33
Reestructurar,Principalmente requerir que las autoridades pero muy honestos y reales no falsos,Que se congelen los salarios que ganan servidores públicos por arriba del salario presidencial,,EDOMEX,33
Que se eliminen los partidos políticos financiados por el presupuesto público y presupuesto empresarial privado,Revisar y filtrar a los encargados de los programas sociales,Las fuerzas armadas deben de recuperar los espacios públicos que han dejado de ser públicos por el crimen organizado ,,EDOMEX,33
Suspender a jueces y ministros que incumplan con las leyes que se establecen,Votación para elegir las obras públicas,Hoy la seguridad pública debería de organizarse con los vecinos de cada sector,,EDOMEX,33
,Aumentar el gasto público en ciencia y tecnología y educación,,,EDOMEX,33
,Incluir en el sistema de educación una materia de política e inculcar desde la niñez y la fortaleza de los valores y oportunidades para todos los niños,Que la distribución de riqueza siga siendo equitativa y se profundice la igualdad económica y social,,EDOMEX,33
,Más protección para las mujeres,Separar los infractores según el delito de condena dentro de las penitenciarías,,EDOMEX,33
,Que haya mucha vigilancia en las instituciones públicas afín de evitar robos hormigas,Combatir la corrupción en espacios de la policía y de la justicia,,EDOMEX,33
,Examen de confianza o servidores públicos,Implementar valores hoy dentro de las corporaciones policiacas,,EDOMEX,33
,Castigar severamente el fraude que ejerza cada político o funcionario público,Que existan sanciones más severas para delincuentes qué se dedican a la venta ilegal de inmuebles y terrenos,,EDOMEX,33
,Asentar desde la raíz la educación,Programa integral de participación en instituciones como la sep la secretaría de salud y cultura qué prevengan la violencia en las juventudes,,EDOMEX,33
,No meter personal aviador para que los jefes ganen más y pidan prestanombres,Reformar la constitución en términos de justicia qué seguridad,,EDOMEX,33
,Si algún delincuente realiza un acto delictivo y hay evidencia y aunque los afectados no demanden sea castigado,"Reestructurar los ministerios públicos y las policías tanto municipal como estatal, más oportunidades educativas para el personal de seguridad",,EDOMEX,33
,Seguir con las consultas y promover la consulta municipal de diputados locales y federales,Tenemos pláticas con las ciudadanías para que también sean conscientes y no solo se desinforme a las instituciones públicas,,EDOMEX,33
,Fortalecimiento de las comunidades para desarrollar el humanismo y desarrollar un progreso justo,Combatir a la corrupción,,EDOMEX,33
,Es necesario todo mejoramiento en todo el servicio público,Hola darle más oportunidad a la guardia nacional de intervenir en tareas de seguridad territorial,,EDOMEX,33
,De nosotros que somos pueblos ser participantes hacer un equipo con las autoridades correspondientes,Dar oportunidad al personal de la policía que tenga experiencia para en contribuir en la construcción de políticas de seguridad y justicia,,EDOMEX,33
,Que se le dé lugar a la guardia nacional ya que ellos dejan estabilidad y al frenarlos los dejan con las manos a barradas y no logran hacer su labor que es defender a la ciudadanía,Invertir más en seguridad pública como mayor número de policías y patrullas,,EDOMEX,33
,Que se cumpla con la ley a la hora de hacer las licitaciones,Hostil más en la formación policial la formación académica,,EDOMEX,33
,Que se investigue a los corruptos y se les encarceló,,,EDOMEX,33
,Empezar desde la casa con valores disciplina,,,EDOMEX,33
,Que como ciudadanos dejemos de dar mordidas y hacer cosas que fomenten la corrupción ,,,EDOMEX,33
,Dar oportunidad a los ciudadanos de presentar proyectos que ayuden a ordenar y mejorar las fuentes ,,,EDOMEX,33
,Seguir haciendo estas asambleas involucrando más a la gente para que la corrupción la eliminemos todos,,,EDOMEX,33
,Hoy continuar con los asambleas y promover la creación de un instituto qué fomente la erradicación de la corrupción,,,EDOMEX,33
,Hoy hacer un comité ciudadano que tenga el poder de auditar a los funcionarios,,,EDOMEX,33
,Que los presidentes municipales rindan cuentas cada año,,,EDOMEX,33
,Que los ciudadanos y las autoridades sean transparentes y dejemos de aceptar la corrupción ,,,EDOMEX,33
,Que las obras sean para el bienestar de la ciudadanía cómo las obras emblemas de la 4 t,,,EDOMEX,33
,Que las fiscalías especializadas para la investigación de mujeres en términos de feminicidio sean principalmente lideradas por mujeres,,,EDOMEX,33
,Hotel inai trabaje como un instituto para indicar la calidad de los gobernadores y gobiernos democráticos,,,EDOMEX,33
,Verificar todo tipo de licitaciones con varios filtros,,,EDOMEX,33
"Profundizar el tema de la rendición de cuentas a servidores públicos, funcionarios y representantes populares",Auditorias públicas anuales para todos los niveles de gobierno,Reforma judicial,Fortalecer la soberanía nacional,EDOMEX,36
Auditorias constantes,Ampliar programas sociales con los recursos que antes se desviaban por la corrupción,Policía más preparada,Combatir el intervencionismo estadounidense en la región,EDOMEX,36
Una política de austeridad y reducir gastos superfluos y corrientes,Austeridad republicana en todos los niveles de la vida pública,Mando único de policía,,EDOMEX,36
Consulta de revocación de mandatos a todos los niveles de gobierno,Órganos de vigilancia ciudadana para vigilar los gastos de los gobiernos locales,Guardia nacional en todos los estados de la República,,EDOMEX,36
Urge una Reforma electoral,Protección a las y los ciudadanos que denuncian actos de corrupción,Mejorar sistema educativo para evitar delincuencia. Poner atención en espacios culturales y de reconstrucción del tejido social para evitar el paso de las juventudes al crimen,,EDOMEX,36
Una Reforma al poder judicial,Fortalecer órganos de vigilancia contra la corrupción,Mayores oportunidades de empleo para que la gente no se vaya por el camino de los robos y la violencia,,EDOMEX,36
