Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
Reforma al Poder Judicial en México.,"Que trabajen con el ejemplo del presidente, ya saben quién.",Humanismo en las fuerzas públicas.,Que haya más seguridad,Michoacán,9
"Aumento al salario mínimo y jornadas laborales de 7 horas, 5 días por semana.",Que los ministros sean justos y que vayan con el presidente ,Implementación de leyes para evitar que los poderes pongan a trabajar a sus pequeños en las calles.,Que los recursos naturales sean de México,Michoacán,9
Lealtad y ser justos.,"Tener mejores policías y tráncito que no sean desonestos, que sean honrados.",Exigimos antidoping a todos los policías y encargados e la seguridad pública.,Defender la soberanía.,Michoacán,9
Seguir combatiendo la corrupxión.,Políticos honestos.,Que el salario mínimo aumente reduciendo problemáticas económicas.,Desarrollo científico y educativo.,Michoacán,9
Es urgente el cambio en el Poder Judicial de manera total y expedita.,"Expulsar a los corruptos de todas las instancias del gobierno, federal, estatal , municipal.",Continuar el combate a la corrupción,Más tratados donde participe México en materia laboral.,Michoacán,9
"Salarios justos y prestaciones de ley a funcionarios públicos bajos, tener un buen equipo mejora, y a los que tienen privilegios equilibrarlos justamente.",Poner vigilancia o personas de confianza que maneje los recursos del pueblo.,Crear espacios de áreas verdes para las familias sean unidas.,Profundizar el amor a México.,Michoacán,9
Que los municipales no nieguen sus responsabilidades y pongan orden y beneficio a su pueblo.,Que la gente o el pueblo es el único que puede limpiar este cáncer.,Valores,,Michoacán,9
Que la delincuencia sea castigada conforme a la ley.,"Que se juzgue a los corruptos aunque tengan fuero, pues a eso se atienen para saquear las arcas.",Atacar la corupción.,,Michoacán,9
Auditorías a todos los funcionarios públicos de manera constante y permanente.,"Mayores castigos a los corruptos, investigaciones a ex gobernadores para decomisarles lo robado.",Participar en lograr el plan C para una mayoría calificada.,,Michoacán,9
Que se les abra carpeta de investigación a jueces y ministros por coludirse con los delincuentes.,Hacer que haya participación del pueblo para elegir SCJN con voto popular.,Que sean auditados sin previo aviso.,,Michoacán,9
Acabar con la corrupción y con el miedo de salir a la calle.,Mayores sanciones y penas para las personas que cometan el delito de corrupción.,"Paz, justicia y bienestar.",,Michoacán,9
Bienestar y prosperidad.,"Que ningún político, funcionarioo tenga una gran nómina.",Paz seguridad y tranquilidad.,,Michoacán,9
"Que se denuncie a quienes estafan al pueblo, diciendo qu eobtendrán lotes privilegiados y salen defraudando.","Que se castigue al corrupto, que no haya impunidad.",Alto a la corrupción de la policía.,,Michoacán,9
Honestidad,Que la seguridad de los de Uruapan mejore.,Seguridad pública y becas para estudiantes.,,Michoacán,9
Sobre el punto a) siempre y cuando tengan la capacidad.,No sean propuestos funcionarios públicos en nuevas elecciones hasta un determinado tiempo después.,Policía más honrada.,,Michoacán,9
Leyes duras,Seguridad.,,,Michoacán,9
Participación ciudadana en el combate nacional a la corrupción en todos los niveles.,No dar mordidas ,,,Michoacán,9
Que el INE también sea electo por el pueblo.,"Queremos seguridad, tranquilidad y respeto.",,,Michoacán,9
,"Seleccionar personal de base que trabaje en dependencias públicas en base a valores, honestidad, justicia, preparación o eficiencia, respeto, humildad, honradez, espíritu de servicio y humanidad.",,,Michoacán,9
,Proyecto y reconciliación por el pueblo y para el pueblo. Paz.,,,Michoacán,9
,Auditorías a gobiernos.,,,Michoacán,9
,Denunciar los desvíos de los recursos económicos.,,,Michoacán,9
,"Que la policía de Uruapan la manden de México, del Ejército.",,,Michoacán,9
,Educación y organización.,,,Michoacán,9
,Que quede claro y acentado el bienestar y disminuir la corrupción.,,,Michoacán,9
,Trasparencia.,,,Michoacán,9
,"Salarios justos, menos a políticos y más a trabajadores.",,,Michoacán,9
,Participar en la regeneración de las conciencias para el respeto entre todos.,,,Michoacán,9
,Más seguridad para todo el pueblo. Más becas para los niños.,,,Michoacán,9
,Hacer efectiva la ley y recuperar los bienes robados.,,,Michoacán,9
Inlcusión de los jóvenes ,Depurar dependencias del gobierno y hacer una evaluación con base a su desenpeño ,"menos policias municipales, más Guardias nacionales ",Metan embajadores comprometidos con el presidente ,Michoacán,12
más apoyo a las mujeres ,,,,Michoacán,12
reforzar la justicia y la tranquilidad del Estado ,,,,Michoacán,12
"Como no fueron electos por el pueblo los ministros de la Suprema Corte de Justicia, sacarlos y elegir nuevos por el voto del pueblo.",Que sea pronta y expedita la contraloría y que se apliquen bien las leyes.,Educación y cultura en todas las colonias.,El respeto y la colaboración para la paz. Buena educación y cultura para todos,Morelos,1
Quitar a los magistrados de la nación y acabar con la corrupción que impera en el poder judicial.,Juicio y cárcel a los corruptos.,Se requiere un programa que promueva y oriente la participación ciudadana para combatir la inseguridad y promover la paz.,Que haya mejor trato a los migrantes.,Morelos,1
Que sea muy claro para qué se contrata la gente y haya órganos de control para evaluar su función.,Participación ciudadana.,La participación de la ciudadanía es primordial porque ellos son los ojos para una buena impartición de justicia.,Que continúe la defensa de Cuba y otras naciones.,Morelos,1
Que se apliquen las leyes a los malos servidores públicos.,"Que los funcionarios antes de ser contratados sean evaluados por un ""test"" de ética que si valore su conducta ética.","Que los integrantes de la seguridad no sean delincuentes, de calidad moral comprobada e intelectualmente capaces. Buena educación para todos.",El incremento de acciones para que las remesas tengan pocas retenciones.,Morelos,1
Que se someta a consulta la elección de los ministros.,Que los diputados bajen sus salarios.,Deben enfocarse integralmente con los otros temas.,Qué efectiva esa defensa.,Morelos,1
La Reforma Electoral es indispensable junto con la Reforma Fiscal.,Que los policías no sean corruptos.,Vigilancia todas las noches para seguridad.,Que se garanticen los mismos derechos a los extranjeros.,Morelos,1
Necesitamos congruencia.,Que la gente tenga participación activa en el cuidado y transparencia.,Que la seguridad sea para jóvenes.,Apoyar y apoyarnos en Latinoamérica.,Morelos,1
"Eliminar el compadrazgo, el amiguismo, que la burocracia sea gente capaz preparada y con convicción de servir. Buena educación y cultura para todos",Promover la cultura de la denuncia y aumentar los años de castigo o penas.,Si las fuerzas armadas están en seguridad que sean capacitadas para ello.,"Que los migrantes sean tratados como personas, no como animales.",Morelos,1
No reelección a los ministros. Evitar que se queden por mucho tiempo.,Castigo inmediato a ladrones y todo tipo de delincuentes.,Acceso a las áreas de esparcimiento en zonas de alta inseguridad.,Que los migrantes sean tratados con dignidad.,Morelos,1
,Buena educación y cultura para todos.,,,Morelos,1
,Contraloría y auditoría a los gobernadores.,,,Morelos,1
,,,,Morelos,1
Proponer que se elabore una nueva constitución.,Auditar a los presidentes municipales y gobernadores.,Apoyo a jóvenes emprendedores.,Más contacto con Latinoamérica.,Morelos,2
Cambio total de los ministros de la Suprema Corte de Justicia.,Que cada cierto tiempo se den a conocer en qué se han gastado e invertido los recursos.,Qué verdaderamente exista una protección al pueblo y no a los criminales.,Que sea permanente liderazgo que ha conseguido México en América.,Morelos,2
Reforma a leyes con lagunas. Elecciones vigiladas.,Que todo trabajador en gobierno cumpla y trabaje sobre corrupción y delincuencia.,Sanciones ejemplares.,Que haya más economía en México para que las personas no emigren.,Morelos,2
"Atención directa a núcleos sociales organizados, agua, luz, vivienda, seguridad.",Sanciones más ejemplares.,Que se dé cárcel a gobernadores y presidentes si hay corrupción.,Una buena relación con el exterior.,Morelos,2
Que haya más instituciones de apoyo.,Castigar con cárcel a servidores públicos y quitar fuero a todos.,"Jueces y servidores públicos ser juzgados, la ley es pareja.",Invitar otros países al comercio para seguir el desarrollo de México.,Morelos,2
Escucharnos y juicio político a gobernadores.,Que los servidores públicos no pacten con el narcotráfico y que hagan su trabajo.,Que pongan más vigilancia en las colonias y alumbrado.,,Morelos,2
Sanciones más enérgicas a quien le falle al pueblo.,Que los servidores públicos trabajen con honestidad.,Analizar los candidatos a cualquier puesto público.,,Morelos,2
Exhibir a un servidor público ante el pueblo y no exista amparo alguno.,Eliminar partidos políticos para evitar derroche del presupuesto.,Que se les aumente la pena por delito.,,Morelos,2
Que el Estado cumpla las necesidades del pueblo.,Sancionar a la persona que fomente la corrupción.,Generar un equipo de investigación para que se lleven a cabo los programas.,,Morelos,2
Que los gobernadores de los estados rindan cuentas al finalizar su mandato y sean juzgados por ley.,Que todo servidor público se le haga auditoría al finalizar su mandato.,Atender con módulos en las colonias las inseguridades.,,Morelos,2
Justicia con pena de muerte a quien traicione o venda los bienes de la nación.,,Urgen sistemas de inteligencia.,,Morelos,2
Haya reforma agraria para los terrenos que ya están dentro de un territorio urbano y castigar a las autoridades agrarias por registrar doble.,,Debe haber más coordinación entre todos los grupos que atienden la seguridad.,,Morelos,2
,,Rondines de la policía estatal y municipal en las colonias.,,Morelos,2
Que las propuestas a ministros sean con abogados especialistas en la constitución y no duran en su cargo más que el presidente y la autonomía de los órganos autónomos no sea libertinaje.,Visitadurias a los juzgados para que se caminen en los expedientes.,"Reformar el artículo 21 apartado ""B"". Mejorar prestaciones al gremio policial.",Que el pueblo elija los embajadores y control de armas.,Morelos,3
Que los sueldos para esos funcionarios no sean tan altos. Que realicen con conciencia su trabajo.,Total protección a quien denuncie la corrupción.,Estas personas al igual que sus familias necesitan ayuda emocional y espiritual.,Convenio internacional para disminuir el tráfico de armas a México.,Morelos,3
Que todos los representantes del Poder Judicial y las instituciones autónomas como el INE los elija el pueblo.,Investigar profundamente las injusticias y autoridades en la cual existe corrupción.,Más apoyo a los jóvenes psicológicamente.,Hagamos equipo sin envidia para hacer y vivir mejor. ,Morelos,3
,,Es necesario revisar y actualizar el marco jurídico.,,Morelos,3
,,Profesionalización de las instituciones de justicia.,,Morelos,3
,,Que el pueblo elija a ministros y magistrados.,,Morelos,3
,,Total apoyo a la Guardia Nacional.,,Morelos,3
Juzgar a todos los presidentes por la impunidad del país,Cárcel a la corrupción,,Recuperar nuestras minas nuestro territorio y nuestras autopistas,Morelos,4
Juzgar la impunidad de la corrupción.,Impulsar auditorías semestrales para todos los órganos y niveles de gobierno,,Entrar a los BRICS,Morelos,4
Seguridad,Auditar a los servidores públicos como presidente y regidores,,Que los presidentes se bajen sus quincenas y los demás también,Morelos,4
Que los derechos de la población sean parejos y se quiten los privilegios a personas que tengan fuero o una situación económica solvente,Que no les den becas a gente que no estudia y nada más aumenta el vicio de las drogas,,Más apoyo para personas con discapacidad,Morelos,4
Que trabajen más los diputados y los regidores que no nada más estén flojeando,Defender a las personas discapacitadas,,Que los consulados en el extranjero sean verdaderos defensores de nuestros connacionales,Morelos,4
Tomar a los organismos autónomos y alinearlos a la filosofía de la 4T,Que las calles estén pavimentadas y que los vendedores no saquen a vender afectando las banquetas y que los presidentes no metan tanta gente huevona que no hacen nada,,Reformas de mejora para nuestros migrantes mexicanos,Morelos,4
Que sigan investigando a todos los corruptos,Que los policías no agredan a los automovilistas y no sean groseros y prepotentes,,Más representación a los migrantes ,Morelos,4
Que toda persona que ocupe un cargo público sea elegido por el pueblo,Contar con órganos sancionadores con ética que impongan castigos efectivos,,Radicalizar esta transformación,Morelos,4
"Garantizar (impulsar una ley) para qué la burocracia recorra el territorio, para atender las necesidades de la población",Tomar a las instituciones dedicadas al combate a la corrupción y adoctrinarlas a los ideales de la 4T,,,Morelos,4
Fiscalización de los recursos de los estados mediante mecanismos que aseguren que no haya corrupción en el proceso o resultados de las auditorías,Que no tengan derecho a libertad bajo fianza a los delincuentes por corrupción,,,Morelos,4
No más dinero a ejecutivos políticos no más dinero a partidos,Castigo ejemplar y cárcel a todo aquel que colaboró para saquear a nuestra nación,,,Morelos,4
Que los jueces a los que se les descubra corrupción en los juicios sean castigados,Auditorías para el sector educativo (IEBEM),,,Morelos,4
Profunda reforma a la constitución para que no se interrumpan los programas sociales y se encarcele expresidentes,,,,Morelos,4
Que se invierta en la salud mental. Más atención de calidad y gratuita,,,,Morelos,4
Que las personas que ya estaban por recibir su pensión y fallecen y ya no los entreguen deberían de entregar a su segundo beneficiario por sus gastos funerarios,,,,Morelos,4
Visitar a la población más vulnerable que se encuentra en zonas marginadas,,,,Morelos,4
Transparencia,Medir de una forma el grado de honestidad de cada persona,"Transformar de fondo y forma el sistema judicial en morelos, es un negocio",Que no haya corrupción en el país que haga que se cumpla que sean honestos,Morelos,5
Se debe legislar para desaparecer la reelección y a los diputados plurinominales,Talleres de valores y obligaciones,Realizar un impacto en el ámbito jurídico. Artículo 112 ley 14748. ,Preocuparnos por nuestra naturaleza,Morelos,5
Reforestar todos los espacios posibles y evitar la mancha urbana,Que se pongan a trabajar los políticos porque solo llegan al estrado a pelear y a robar,"Priorizar acciones de prevención tales como educativas, deportivas y culturales",Una clínica ejemplar de operaciones generales. Apoyo a la tercera edad y niños y niñas y desamparados. Un edificio cultural de recreación,Morelos,5
Que en espacios libres se otorguen el sembrado de árboles para mejorar el ambiente,Exista una mayor difusión en cuanto a las licitaciones para que mayor número de personas participen y no siempre se queden los proyectos las mismas personas,Asesoría para tratar a un hijo violento,Cámaras en las principales avenidas y calles,Morelos,5
Que apliquen los maestros y madres y padres la orientación vocacional a los niños,Que se implemente mucho más las auditorías,Que haya más vigilancia,,Morelos,5
Que se fortalezca el mercado interno a través del consumo local,Escuchar y atender al pueblo,Más apoyo a los jóvenes,,Morelos,5
mejorar servicio público y disciplina de los choferes,Investigar la corrupción minuciosamente. Un artículo de la constitución que castigue a todos los grandes gobernadores que le llegan un precio para hacer corruptos cada fraude para el cambio,,,Morelos,5
Que haya una ley para la suprema corte de justicia que soborne al pueblo ya hay una constitución que lo aplique y la ley la sobornan en el estado,Que los desvíos de recursos públicos sea delito federal y se actúe sin maquillaje y quien falte vetarlo de por vida para cargos públicos,,,Morelos,5
Que los ministros ganen menos,Combate a la corrupción en ayuntamientos que los presidentes ganen menos,,,Morelos,5
Que se eliminen los partidos políticos que son los que reciben más recursos,,,,Morelos,5
Que apliquen los maestros y madres y padres la orientación vocacional a los niños,,,,Morelos,5
Vigilancia permanente sobre los funcionarios de gobierno,Respeto y preservación del orden público,Vigilancias internas a cualquier dependencia,Que el Estado garantice el patrimonio cultural de la nación,Nuevo León,1
Regulación de precios de canasta básica,Capacitación en temas de medidas anticorrupción para las juventudes,"Mayor atención y apoyo a la zona rural, pues estas han estado al acecho de gobernadores municipales que las han destruido",Mayor presupuesto a STEM,Nuevo León,1
Reducción de diputados y senadores; reducción de los plurinominales,Realizar auditorías a gobernantes y alcaldes en turno,Organización y reconocimiento de juntas de seguridad comunitarias,Que se facilite el voto a migrantes,Nuevo León,1
Reducción de diputados a 300,Que la Guardia Nacional se use para detener al narcotráfico,Necesario una reforma al Poder Judicial,,Nuevo León,1
Que el fiscal general del estado sea electo por el pueblo y no por el congreso,"Que los bienes y dinero que hayan sido robados, sean devueltos ",Seguir impulsando la campaña de prevención de adicciones,,Nuevo León,1
Mejoras a la reforma educativa reciente,Cárcel directa para gobernadores corruptos,Organización de talleres y eventos en donde las familias puedan abordar temas de integración familiar ,,Nuevo León,1
Reducción salarial de las y los ministros,Nuevo programa de educación pública,Garantizar espacios públicos libres de violencia,,Nuevo León,1
Eliminar los fueros,Vigilancia de fiscales corruptos,Mayor seguridad en centros de adicción,,Nuevo León,1
Reducción de senadores por la mitad,Eliminar el fuero a todo servidor público,Intensificar los protocolos de prevención en violencia de género,,Nuevo León,1
Eliminación de los plurinominales,,Talleres de desarrollo personal enfocado tanto en jóvenes como en adultos,,Nuevo León,1
Los ministros no pueden ganar más que el presidente,,Talleres destinados a padres de familia en temas de adicciones y prevención,,Nuevo León,1
,,Que la Suprema Corte de Justicia sea elegida por el Poder Legislativo,,Nuevo León,1
,,Mayor seguridad en escuelas y centros educativos,,Nuevo León,1
,,,,Nuevo León,1
Garantizar el suministro de agua en todos los estados,Elaborar programas dedicados a impulsar los valores de la familia,Mayor seguridad en las colonias,Unificación de América Latina,Nuevo León,2
Uso de tecnología para crear mecanismos de fiscalización del gasto de Poder Judicial,"Vigilancia en el uso del gasto público en obras como carreteras, pues ahí anida también la corrupción",Ministros y jueces sometidos a la ley,Defensa de la soberanía nacional,Nuevo León,2
Juicios orales con jurado de la sociedad,,,,Nuevo León,2
Menor cantidad de diputados,,,,Nuevo León,2
"Cubrir las necesidades mínimas de las poblaciones vulnerables en los estados (lgbt, migrantes, comunidades indígenas)",,,,Nuevo León,2
que los magistrados sean elegidos por el pueblo,que se le saquen copias a la constitución y se repartan con el pueblo ,que termine la corrupción ,que se esfuercen en hacer a México fuerte de nuevo ,Nuevo León,3
que de verdad acabe el outsoursing,clases de civismo,llevar seguridad estricta,participación de voto a nuestros connacionales ,Nuevo León,3
cambiar el sistema edicativo donde no se tenga que memorizar,carcel a los corruptos ,capacitación sobre temas de honestidad ,seguir siendo un país autónomo ,Nuevo León,3
seleccionar a concniencia  a las personas que nos van a representar ,,fortalecer las instituciones educativas y de salud donde hay gente sana y educada ,,Nuevo León,3
que se castigue  a los corruptos ,,nuevo sistema de justicia sin policias municipales porque no jalan ,,Nuevo León,3
que sigan todas las reformas en beneficio del pueblo,,reformen la guardia Nacional ,,Nuevo León,3
que se vigile al imss,,establecer menos horas de trabajo para para cuidar a nuestros hijos ,,Nuevo León,3
proteger los derechos de nuestros paisanos en el extranjero,,ayudar a las amas de casa para no tener que dejar a sus hijos por irse a trabajar ,,Nuevo León,3
que los magistrados sean electos por el pueblo,,hacer un programa social para amas de casa para que no salgan a trabajar ,,Nuevo León,3
que no se paguen sueldos altos a gente del gobierno ,,,,Nuevo León,3
que llegue el presupuesto a todos ,,,,Nuevo León,3
que los jueves locales sean alegidos por el pueblo ,,,,Nuevo León,3
tranparencia en gastos del Estado ,,,,Nuevo León,3
más seguridad ,,,,Nuevo León,3
Terminar con el neoliberalismo,Funcionarios honestos,Reformar al poder judicial,Que nuestro gobierno muestre al mundo nuestra riqueza cultural y humana,Nuevo León,5
Legislar para que los diputados obligatoriamente informen periodicamente y en asamblea directa a la población del distrito,No aceptar a cualquier miembro de otros partidos ,Buenos salarios y prestaciones para los elementos,,Nuevo León,5
"No a los plurinominales, si los funcionarios no trabajan debidamente, quitarlos","Fiscalización oportuna trimestral durante el periodo donde el funcionario está en funciones, usando tecnología","Reformar para que la SCJN sea elegida por el pueblo, para que no se dejen libres a los delincuentes",,Nuevo León,5
"Que el pueblo elija a los servidores de la SCJN, magistrados y jueces ",Cárcel para los corruptos expresidentes,Tener una polícia confiable,,Nuevo León,5
Que los ministros de la SCJN hagan bien su trabajo ,Encarcelar a los corruptos a cadena perpetua sin derecho a fianza ni a palancas en el gobierno,Organizar seguriidad por colonias y regiones ,,Nuevo León,5
Reformar el sistema de educación ,Juicio a los expresidentes y que regresen lo que se robaron ,,,Nuevo León,5
Que los candidatos a cualquier puesto público sean elegidos por la gente ,"Que sean transparente al ocupar puestos públicos y se audite al termino de su cargo, castigo público al que sea corrupto",,,Nuevo León,5
Que la pensión para 65 y más no tarde dos meses,Más cámaras de vídeo y crear un convenio con las redes sociales ara grabar y evidenciar corruptelas ,,,Nuevo León,5
Educación para todos tanto en el hogar como en la sociedad,Que se vayan a la cárcel los anteriores gobernantes,,,Nuevo León,5
Reforma en suprema corte de justicia,Pena de muerte para los corruptos,Reformar las leyes que aplican al DIF para mejorar la vida de los niños,Respeto y libre transito a migrantes,Nuevo León,6
Que se atiendan los miles de presos injustamente,Educar a la población en Honestidad y Justicia,Atención a víctimas de los delitos,"Crear leyes eficaces que castiguen a empresas extranjeras que abusen de los recursos naturales en nuestro país como litio, minerasy maderas.",Nuevo León,6
Que se hagan consultas por sector electoral para que participe toda la ciudadania en decisiones de su comunidad,Legislar la difamación en redes sociales,REforma profunda al poder judicial,Lograr que todos los inmigrantes mexicanos voten en el extranjero,Nuevo León,6
,Dar carcel a los corruptos de gobiernos pasados,Cerrrar las fronteras al tráfico de armas largas y exclusiva del ejercito,Fundar una asociación de nuevas naciones anticorrupción,Nuevo León,6
,Que las obras del gobierno federal tambien lo ejerza el gobierno federal y no el estatal o municipal,Legislar más la violencia de parejas donde hay abuso de autoridad tambirn (palancas),Defender nuestra soberanía,Nuevo León,6
,Modificar las leyes que favorecen la corrupción,Fomentar la enseñanza de la cultura y la constitución desde el niivel básico.,,Nuevo León,6
,Auditoria para todo servidor público,,,Nuevo León,6
,Que hayan mas educación política y de participación ciudadana desde educación básica,,,Nuevo León,6
"Cambiar el pode judicial, que sena elegidos por el pueblo.",Eliminar a las personas déspotas.,Seguir apoyando a los jóvenes.,Que tengan más derechos los mexicanos en Estados Unidos.,Nuevo León,7
Menos diputados.,No tomar a laigera cuando la gente de la comunidad denuncia a alguien de corrupción.,Atacardirectamente los recursos financieros del crimen organizado,Seguir defendiendo a los mexicanos en el extranjero. ,Nuevo León,7
,Investigar actos de corrupción en bienestar.,Cadena perpetua a los violadores.,Promover eventos deportivos internacionales en México.,Nuevo León,7
,Que haya protección civil en el municipio de Linares.,Impartir la cartilla moral en primaria y reforzarla en secundaria.,,Nuevo León,7
,Que el pueblo elija a sus gobernantes para cada puesto público.,Más parques públicos para jóvenes.,,Nuevo León,7
,Auditorías constantes.,Oportunidades para los jóvenes de estudio y trabajo.,,Nuevo León,7
,Eliminar puestos innecesarios.,"Empezar a trabajar desde la educación preescolar, con valores y principios. ",,Nuevo León,7
,Auditar a todos los funcionarios públicos.,Prevención a través de educación.,,Nuevo León,7
,Que los funcionarios públicos y de elección popular sean vigilados contable y patrimonialmente en sus haberes.,Deporte gratuito para evitar adicciones.,,Nuevo León,7
,Crear un órgano anticorrupción. ,Cadena perpetua a violadores. ,,Nuevo León,7
,,Que exista personal en cada colonia aera exponer irregularidades o abusos.,,Nuevo León,7
,,Tener más universidades para los jóvenes.,,Nuevo León,7
Menos partidos políticos.,,Que el ejército salga de las calles.,Que se apoye a los migrantes.,Nuevo León,8
Que se quite el dedazo y que todo sea elegido por el pueblo.,,Que se revise la actuación de seguridad pública oues no responden a las llamadas. ,Seguir apoyando el desarrolo de la región centroamericana y el caribe.,Nuevo León,8
Retomar la reforma electoral.,,Más apoyo en seguridad y deportes.,Más presupuesto para la investigación cientifícas de las universidades.,Nuevo León,8
Quitar los pluris.,,Atender a niños víctimas de abuso sexual. ,Seguir apoyando a las personas necesitadas de todo el mundo.,Nuevo León,8
"Promover las buenas costumbres, los valores y deportes que aporten nobles enseñanzas con promoción equitativa de las televisoras.",,Invertir más en cuerpos policiacos. ,Infraestructura férrea en Guatemala y Bélice. ,Nuevo León,8
Reformar al poder judicial.,,Tipificación de delitos contra animales. ,,Nuevo León,8
"Que realmente se escuche al pueblo y que de continuidad, no permita la corrupción en nivel judicial",Que las adquisiciones del gobierno no se adjudiquen a los amigos o familiares de servidores públicos como hasta hoy,Pena de muerte,No dar importancia a intereses extranjeros de estados unidos,Nuevo León,9
Que ya no pongan funcionarios públicos que no tengan perfil,Eliminar los sindicatos fantasmas que hay en los mercados rodantes que se han hecho ricos,Yo como ciudadano apoyo que siga Manuel López obrador porque ningún presidente ha hecho lo que él está haciendo,Combatir la desigualdad,Nuevo León,9
Cambiar jueces y magistrados,Analizar los presupuestos municipales y estatales para investigar si existen formas de corrupción,Que se apoye en los casos de drogadicción con centros de rehabilitación de parte del gobierno para que las personas continúen con talleres de capacitación de algún oficio,Predicar con el ejemplo,Nuevo León,9
Que el pueblo elija a sus representantes en el poder judicial,"Queremos apoyos para las y los jóvenes, becas para que no se vayan por el mal camino y que hagan deporte",Actuar con honestidad y compromiso,No privatizar a extranjeros seguir defendiendo derechos humanos,Nuevo León,9
Módulos para denunciar problemas familiares y evitar conflictos vecinales,Que se les haga auditoría a los gobiernos estatales y municipales,Reforma constitucional con leyes duras y sanciones ejemplares para mejorar este aspecto tan importante,Trato digno a migrantes,Nuevo León,9
Que las denuncias lleven a cabo con el proceso pertinente,Que la suprema corte emane del pueblo y puedan ser removidos si incurren en corrupción,Que a los ministros de la suprema corte de justicia los elija el pueblo por 6 años y como jueces se le someta a la justicia por corrupción sin reelección.,Mejorar la organización de morena en el extranjero,Nuevo León,9
"Los jueces son corruptos y los defensores de oficio no atienden al pobre, no lo orientan ni defienden.",Que haya elementos honestos y con buena preparación,Autoridades honestas elegidas por el pueblo y para el pueblo,Hacer más consulados en Estados Unidos,Nuevo León,9
Propongo que las personas que ocupen puestos públicos sean personas honestas sin problemas o mal récord,Que haya personas de la población al azar para revisar los gastos de las autoridades,Que se combata la corrupción desde dentro,Hacer más negocios con China y Rusia,Nuevo León,9
Acercar los servicios de asesoría jurídica a las personas de escasos recursos,Informar y reforzar el papel de la ciudadanía,Agilizar los trámites de seguridad o denuncias de personas dañadas,Ser selectivo en los permisos a extranjeros que vienen en nuestro país,Nuevo León,9
Es necesario que haya más participación ciudadana en todos los aspectos,Hacer cumplir los términos de la ley de cuenta pública y ley de transparencia,Urge reforma judicial.,Tecnología en la educación para competir en el mundo y se hable de México como país más preparado,Nuevo León,9
Muy importante fomentar los valores y combatir los antivalores,"Fomentar una educación humanista con valores y principios, formar células ciudadanas que supervisen el desempeño de los funcionarios públicos","Preguntar a las jóvenes de secundaria, prepa y también normalista sobre maestros acusadores",Hacer visibles espacios migrantes,Nuevo León,9
Que los de la guardia nacional sean honrados que no permitan que se corrompan,"Auditorías a todos los que gobiernan, checar todos los movimientos que hacen estas auditorías pues tienen muchos lujos y permiten corrupción principalmente a los del municipio.",Empezar a acabar con jueces y magistrados actuales,Unión de países latinoamericanos,Nuevo León,9
Que se cumplan las leyes sin corrupción,Hacer auditorías a las presidencias municipales,Campañas de prevención de consumo a través de todas las instituciones,,Nuevo León,9
Que los candidatos no cambien de partido cuando son electos por el pueblo si lo hacen se les cancelen sus derechos políticos 10 años,Investigar sueldos de servidores públicos en los municipios,Programas de justicia cívica,,Nuevo León,9
Reformar y aplicar castigo para jueces y magistrados para un mejor país y todos los mexicanos,,Apoyar con talleres a los padres de familia con hijos con problemas de adicciones.,,Nuevo León,9
"Quitarle el fuero a políticos, gobernador y a todos los funcionarios hasta la policía municipal y administrativos",,Que las personas que están sentenciadas trabajen en programas aprobados de gobierno en ranchos granjas etcétera,,Nuevo León,9
Que se procese a los malos servidores públicos,,Que la ciudadanía tenga mayor comunicación con los alcaldes y jueces auxiliares en las colonias para mayor seguridad,,Nuevo León,9
"Quitar a todas las personas que reciben sueldos altos y permiten todo acto inmoral de corrupción, que se han puesto por el pueblo",,La participación de cuerpos de seguridad local en niveles de corrupción,,Nuevo León,9
Redefinición de funciones de los poderes legislativos y judicial y que sean electos por votación,,Vigilar a los elementos de la guardia nacional y si son corruptos encarcelarlos,,Nuevo León,9
Que corran a la ministra Norma Piña por corrupta,,Hacer reforma a la suprema corte de justicia para evitar que los infractores salgan libres,,Nuevo León,9
"Que haya más seguridad hospitales, áreas deportivas. Necesitamos diputados y senadores que legislan a favor del pueblo",,Uso de tecnología en vídeo localización y restricción en el uso de efectivo,,Nuevo León,9
Que los servidores públicos sean elegidos con un perfil de servicio a su comunidad no de lucro,,Reforzar la vigilancia en carreteras y caminos,,Nuevo León,9
Que el poder judicial sea elegido por el pueblo,,Ayuda a personas que consuman efedrina,,Nuevo León,9
Que la suprema corte sea elegida por el pueblo,,Atender los crímenes y discursos de odio en torno a las poblaciones de la diversidad sexual,,Nuevo León,9
Que que los servidores públicos visiten su territorio mínimo dos veces por año para dar seguimiento a los problemas no resueltos,,Cárcel para los corruptos de cuello blanco,,Nuevo León,9
Que se reduzca el número de diputados y senadores para que haya más dinero para los más pobres,,,,Nuevo León,9
"Mecanismos que hagan más público la vida pública de los funcionarios, con uso de tecnología",,,,Nuevo León,9
Hacer un decreto que obligue a la gente sembrar un árbol enfrente de su casa,,,,Nuevo León,9
Que se reformen los sindicatos de la burocracia ya que los líderes se eternizan en el poder,,,,Nuevo León,9
Que la suprema corte de justicia no tenga fuero,,,,Nuevo León,9
Que se ejerza la sanción necesaria para los traidores a la patria,,,,Nuevo León,9
La seguridad ante un Monterrey seguro.,El poder Judicial es super corrupto.,Tenemos un gobierno fabuloso ,Importancia de México ante la ONU.,Nuevo León,10
